"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"102",732,988,1398,1938,2554,2019,0.161870503597122,0.279098614843912,0.242769369099356,1.3862660944206,0.29251012145749,-474.6498,3454.9656,-2375.9422,0.67,1470,23.0215263366699,93.1798400878906,2.625,10.375,31,16,0.438709677419355
"103",1065,1517,2024,2659,3538,3070,0.135596839632714,0.232890779725666,0.20337354542543,1.31373517786561,0.272204243078029,-856.6654,4922.9867,-3386.9447,2.66,1790,1.96786379814148,59.0362548828125,-0.375,0.875,3,64,0.408269662921348
"104",1110,1410,1808,2266,2801,2221,0.112420225822288,0.239039665970772,0.168609645355258,1.2533185840708,0.215448036450423,-768.0244,4234.442,-2424.1203,1.33,1468,22.3510971069336,154.536651611328,-3.5,9.75,35,16,0.323136999674585
"105",1085,1395,1724,2120,3155,2953,0.103017689906348,0.228769497400347,0.15450643776824,1.22969837587007,0.293297806927649,-1018.8644,4282.8359,-3115.721,24.67,1352,0,45,0,0,0,64,0.439901629265294
"106",759,971,1208,2193,2560,1912,0.289620699794178,0.656754233897853,0.434367190945171,1.81539735099338,0.358811040339703,-185.461,3545.5793,-2320.2835,5.33,2075,1.21711814403534,123.690063476562,0.75,0.75,2,32,0.538145150590421
"107",999,1280,1591,2092,2799,2414,0.136030409991854,0.302061979983118,0.204017917741279,1.31489629164048,0.275170842824601,-757.8878,3967.6993,-2615.0731,32.66,1480,5.73025560379028,93.366455078125,0,2.25,9,32,0.41270925862658
"108",802,1010,1298,2074,3120,2524,0.230130486358244,0.504158004158004,0.345144551519644,1.59784283513097,0.412403802625622,-512.0692,3754.3142,-3057.0838,46,1952,14.08482837677,80.5376815795898,-1.5,5.75,21,1,0.618535702161367
"109",633,887,1092,2298,2263,1759,0.355752212389381,0.734738637748264,0.53354962394927,2.1043956043956,0.34903129657228,59.862,3402.8895,-2066.1914,29.33,1460,4.72794246673584,4.08561706542969,0.25,2,7,128,0.523468931604828
"110",758,1087,1442,2351,3357,2437,0.239651990508832,0.427241962774958,0.359430604982206,1.63037447988904,0.399041466972286,-380.147,4058.699,-3154.5786,25.34,1488,14.9766092300415,82.4053573608398,2.875,6.875,23,2,0.598499843733722
"111",786,1067,1423,2143,2775,2151,0.201906898485698,0.376018383120953,0.302817888686387,1.50597329585383,0.322058122915674,-429.3562,3729.7246,-2568.8074,27.34,1285,0.337614715099335,180,0.125,0.125,1,8,0.48302965344766
"112",720,976,1319,1767,2089,1714,0.145171743357097,0.261560018682858,0.21772233921918,1.33965125094769,0.22593896713615,-458.0424,3140.9888,-1881.1131,33.33,1353,5.32285261154175,108.434936523438,0.125,2.125,8,16,0.338858735514156
"113",555,838,934,2631,2541,1780,0.47601683029453,1.04148766417086,0.713925115692049,2.8169164882227,0.462446043165468,395.0128,3592.8379,-2313.3521,4,1900,8.10443592071533,24.4439544677734,1.25,3.5,11,128,0.693569270608546
