"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir"
"105",680,921,1033,2231,2454,1855,0.36703431372549,0.899399399399399,0.550467146576811,2.15972894482091,0.407513622024663,625.3557,3567.1582,1420.585,0,1849,0.109640583395958,43.9436550140381,-0.75,2.5,9,64
"106",1241,1645,1854,2573,3111,2621,0.162412468940592,0.409406673499601,0.243591191417278,1.38781014023732,0.253172205438066,87.1662000000001,5014.3289,1872.9707,0,1687,0.0166651234030724,43.4292036294937,-0.375,0.375,1,128
"107",912,1250,1562,2229,2664,2387,0.17594302294909,0.350167996640067,0.263879730977186,1.4270166453265,0.260766682442026,155.9392,4230.549,1476.0881,45,1705,0.0186317432671785,39.1804623603821,-0.5,0.5,1,128
"108",1190,1681,1912,2708,2945,2585,0.172294372294372,0.378614916286149,0.25841359160264,1.4163179916318,0.212682725962528,168.9383,5068.2719,1827.1632,50,1686,8.88178419700125e-16,43.4292036294937,0,0,0,16
"109",1243,1787,2058,2878,2945,2585,0.16612641815235,0.347192819036328,0.249164387724096,1.39844509232264,0.177293623825705,193.5046,5301.422,1922.6425,35,1689,0.00589248817414045,39.5022130012512,0.125,0.125,1,32
"110",1508,2066,2313,2977,3293,3049,0.125519848771267,0.299314821492968,0.188261979018996,1.28707306528318,0.174812700677845,-41.8607999999998,5884.842,2035.6487,50,1683,0.0242908541113138,42.8887841701508,-0.625,0.625,2,128
"111",922,1246,1472,2736,2449,1950,0.300380228136882,0.678985818650623,0.450516811215397,1.85869565217391,0.249171129813823,665.575,4304.4744,1649.1268,40,1695,0.0242908541113138,42.8887841701508,-0.625,0.625,2,128
"112",922,1246,1472,2736,2449,1950,0.300380228136882,0.678985818650623,0.450516811215397,1.85869565217391,0.249171129813823,665.575,4304.4744,1649.1268,15,1695,0.0242908541113138,42.8887841701508,-0.625,0.625,2,128
"113",904,1246,1384,2191,2426,2151,0.225734265734266,0.542922497308934,0.338554048384841,1.58309248554913,0.273490813648294,250.0804,3978.4064,1395.9445,10,1705,0.0186317432671785,42.9655561447144,0.125,0.375,2,1
"114",707,1028,1091,2816,2338,1689,0.441515229076017,1.06206132249723,0.662188099808061,2.58111824014665,0.363662875473899,1050.7175,3910.5844,1576.7606,0,1696,0.0300372242927551,42.8412010669708,-0.5,0.75,3,2
"115",731,951,1090,2068,2135,1663,0.309689677010766,0.782024628178474,0.46446097831249,1.89724770642202,0.324031007751938,478.877,3384.0868,1320.1351,25,1615,0.0186317432671785,39.1804623603821,-0.5,0.5,1,128
"116",1422,1856,2086,2778,3252,3121,0.142269736842105,0.373650107991361,0.213382670366944,1.33173537871524,0.218433870363432,-25.2996000000002,5544.0867,1816.4733,40,1685,8.88178419700125e-16,43.4292036294937,0,0,0,128
"117",814,1139,1477,2445,2650,2095,0.246812850586435,0.465116279069767,0.370172084130019,1.65538253215978,0.284225829900654,458.6029,4169.8042,1627.4858,5,1452,0.0558435767889023,39.1804623603821,-0.5,1.25,5,32
"118",814,1139,1477,2445,2650,2095,0.246812850586435,0.465116279069767,0.370172084130019,1.65538253215978,0.284225829900654,458.6029,4169.8042,1627.4858,10,1452,0.0558435767889023,39.1804623603821,-0.5,1.25,5,32
"119",835,1174,1383,2086,2377,2181,0.202652061112713,0.426318981200728,0.303934284479032,1.50831525668836,0.26436170212766,194.2135,3865.1406,1310.4962,35,1699,8.88178419700125e-16,43.4292036294937,0,0,0,128
"120",910,1247,1528,2287,2584,2376,0.198951507208388,0.409738717339667,0.298388153584065,1.4967277486911,0.256809338521401,221.5077,4215.8839,1426.3891,0,1734,0.0131753943860531,39.038565158844,0.25,0.25,1,64
"121",910,1247,1528,2287,2584,2376,0.198951507208388,0.409738717339667,0.298388153584065,1.4967277486911,0.256809338521401,221.5077,4215.8839,1426.3891,35,1734,0.0131753943860531,39.038565158844,0.25,0.25,1,64
