"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","satvi"
"61",1233,1745,2176,2604,3452,3108,0.0895397489539749,0.166835581195915,0.134295575776592,1.19669117647059,0.226723525230988,-144.3542,5468.6289,1932.3308,25,1509,1.77635683940025e-15,40.2876110076904,0,0,0,32,0.340055076841077
"62",889,1197,1450,2077,2652,2232,0.17777147717607,0.381340469529254,0.266619418851878,1.43241379310345,0.293027791321307,131.5502,4015.2354,1492.2034,35,1682,0.0506463386118412,42.0235559940338,-0.375,1.125,4,2,0.439488117001828
"63",1190,1713,1983,2508,3226,2950,0.11690046760187,0.239419919737322,0.175331181119893,1.26475037821483,0.238625455941639,-86.6367,5177.8218,1792.0447,30,1593,0.0412245281040668,39.5022130012512,0.125,0.875,3,32,0.357903829542183
"64",1416,2050,2318,3109,3758,3410,0.145752717892021,0.309080962800875,0.218608935974205,1.34124245038827,0.236998025016458,27.6306000000004,6166.3411,2148.053,0,1336,0.0186317432671785,41.3947596549988,0.5,0.5,1,4,0.355467785731918
"65",734,1015,937,4020,2281,1417,0.62194875933024,1.8626147897535,0.932829046898638,4.29028815368196,0.417650714729646,2121.3335,4436.3935,1846.5012,0,1277,0,43.4292036294937,0,0,0,64,0.626378747863912
"66",1115,1529,1778,2204,2738,2521,0.106981416373682,0.236115729963419,0.16045197740113,1.23959505061867,0.212577502214349,-101.0378,4546.9738,1570.3905,35,1280,8.88178419700125e-16,43.4292036294937,0,0,0,64,0.318830953171704
"67",1101,1474,1873,2413,2635,2303,0.125991600559963,0.25025488923904,0.188965356351336,1.2883075280299,0.169032830523514,67.2860999999999,4611.3269,1684.692,0,1274,0.0889353379607201,39.6347641944885,-1,2.25,8,32,0.253521126760563
"68",1148,1577,1986,2613,2820,2304,0.136333985649054,0.264780405405405,0.204478747689966,1.31570996978852,0.173533083645443,133.6545,4899.0219,1899.2215,25,1257,0.0753187909722328,44.889342777431,-0.25,1.75,6,64,0.260272547591803
"69",1146,1637,1980,2410,2840,2595,0.0979498861047836,0.18872893258427,0.146908097027673,1.21717171717172,0.178423236514523,-83.2350999999998,4876.9699,1712.9052,20,1203,0.0186317432671785,40.7512588500977,0.5,0.5,1,16,0.26760709469972
"70",1254,1708,2094,2610,3184,2856,0.10969387755102,0.223570190641248,0.164523328727814,1.24641833810888,0.206517620310724,-55.6817999999999,5273.9236,1872.5806,35,1347,0.0424662828445435,43.2318080663681,-0.375,0.875,3,1,0.309747087240693
"71",1582,2220,2513,2842,3391,3149,0.061437908496732,0.13581571994716,0.0921482587993651,1.13091922005571,0.148712737127371,-317.446,6050.6151,2115.2329,0,1276,0.0428721718490124,41.3513088226318,0.5,1,4,8,0.223050215936997
"72",1582,2220,2513,2842,3391,3149,0.061437908496732,0.13581571994716,0.0921482587993651,1.13091922005571,0.148712737127371,-317.446,6050.6151,2115.2329,45,1276,0.0428721718490124,41.3513088226318,0.5,1,4,8,0.223050215936997
"73",980,1372,1618,2340,2970,2588,0.182415361293583,0.384124281762077,0.273588480485032,1.44622991347342,0.294681778552746,142.1472,4531.7132,1623.4236,30,1669,0.0940030366182327,39.5022130012512,0,2,8,32,0.441974501471069
"74",1131,1641,1924,2406,3247,2817,0.111316397228637,0.220352930419676,0.166955316937998,1.25051975051975,0.255849932314833,-89.5236000000001,5020.6112,1836.6167,35,1343,0.0294542610645294,40.4295082092285,0.125,0.625,2,16,0.383737793676883
"75",1446,2079,2341,2739,3638,3632,0.0783464566929134,0.167480222184817,0.117508119279598,1.17001281503631,0.216925907342365,-322.6069,5998.4551,1885.7237,20,1228,0.0300372242927551,40.8756136894226,0.125,0.625,2,4,0.325361652312066
"76",1163,1504,1756,2075,2239,1939,0.083268076220308,0.205039208124438,0.124885814954978,1.18166287015945,0.12090112640801,-109.1985,4170.2513,1555.3874,35,1277,0.0799764767289162,40.774510383606,-0.5,2,6,16,0.181328995119509
"77",1210,1809,2229,2769,3496,3237,0.108043217286915,0.190974678172302,0.162048614584375,1.24226110363392,0.221310043668122,-72.4936999999999,5657.9992,1938.4226,30,1420,0.0166651234030724,38.7168145179749,-0.625,0.625,1,128,0.331936075451926
"78",1257,1810,2202,2804,3430,3110,0.120255693168198,0.228393656574854,0.180365524817737,1.27338782924614,0.218039772727273,-20.8468999999996,5623.3293,1969.9735,0,1390,8.88178419700125e-16,40.2876110076904,0,0,0,64,0.327030625832224
"79",1124,1570,1950,2472,3270,3012,0.118046132971506,0.227233153404144,0.177049180327869,1.26769230769231,0.252873563218391,-57.0033999999998,5094.006,1737.161,25,1386,0.0117845674976707,42.6438055038452,0,0.25,2,2,0.37927401589886
"80",959,1364,1699,2274,2973,2786,0.144726906619683,0.272434378849616,0.217063042657607,1.33843437316068,0.272688356164384,26.7690999999999,4577.4869,1516.8347,30,1464,0.0300372242927551,42.4464099407196,0.5,0.75,3,2,0.408988764044944
"81",1154,1739,2229,2770,3612,3435,0.108221644328866,0.180574098798398,0.162316231623162,1.24270973530731,0.236774524910118,-71.5975,5699.8643,1880.6624,30,1370,0.0459898859262466,41.7677474021912,0.25,1,3,4,0.355131387486091
