"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"98",708,935,1126,1843,2464,2175,0.241495453014483,0.54483282674772,0.362182185553123,1.63676731793961,0.372701949860724,216.6925,3484.1422,1202.6158,30,2276,0.0555331110954285,38.9436135292053,-0.875,1.625,6,32,TRUE
"99",708,935,1126,1843,2464,2175,0.241495453014483,0.54483282674772,0.362182185553123,1.63676731793961,0.372701949860724,216.6925,3484.1422,1202.6158,60,2276,0.0555331110954285,38.9436135292053,-0.875,1.625,6,32,TRUE
"100",926,1286,1526,2845,2593,2164,0.30176161061542,0.652066442554874,0.452590643943726,1.86435124508519,0.259043457149794,682.6446,4508.5999,1658.736,0,1789,8.88178419700125e-16,43.4292036294937,0,0,0,128,TRUE
"101",913,1212,1355,1912,2372,2242,0.170492806856443,0.435769050226882,0.255700076511094,1.41107011070111,0.272873624899383,37.8355000000003,3794.0021,1243.5439,40,1735,0.0242908541113138,43.969623208046,-0.625,0.625,2,128,TRUE
"102",1183,1639,1993,2427,2774,2678,0.0981900452488688,0.196789698013966,0.147268408551069,1.21776216758655,0.163834696874344,-94.6612000000001,4900.798,1625.593,40,1701,8.88178419700125e-16,43.4292036294937,0,0,0,16,TRUE
"103",1083,1461,1731,2186,2281,2112,0.1161603267807,0.255589259633749,0.174218251435865,1.26285384170999,0.137088733798604,-8.79119999999978,4238.9057,1477.015,0,1732,0.0294542610645294,44.8581029474735,0.125,0.625,2,64,TRUE
"104",895,1181,1326,1833,1802,1634,0.160493827160494,0.411860276198213,0.240702642823232,1.38235294117647,0.152173913043478,88.8451999999999,3397.971,1198.6086,40,1768,0.0358276851475239,39.6673617362976,0,0.75,3,16,TRUE
"105",845,1171,1325,2094,2385,2022,0.22491956712489,0.518543492919757,0.337330019008627,1.58037735849057,0.285714285714286,251.4184,3804.3713,1396.0664,0,1719,0.0186317432671785,42.9655561447144,-0.375,0.375,2,128,TRUE
"106",694,993,1150,2333,2336,1920,0.339649727246626,0.734053114916853,0.509401464044782,2.02869565217391,0.34021801491681,616.6523,3701.2513,1368.1101,45,1856,0.0784551426768303,43.9878029823303,0.125,1.875,6,128,TRUE
"107",1241,1645,1854,2573,3111,2621,0.162412468940592,0.409406673499601,0.243591191417278,1.38781014023732,0.253172205438066,87.1662000000001,5014.3289,1872.9707,0,1687,0.0166651234030724,43.4292036294937,-0.375,0.375,1,128,TRUE
"108",912,1250,1562,2229,2664,2387,0.17594302294909,0.350167996640067,0.263879730977186,1.4270166453265,0.260766682442026,155.9392,4230.549,1476.0881,45,1705,0.0186317432671785,39.1804623603821,-0.5,0.5,1,128,TRUE
"109",1190,1681,1912,2708,2945,2585,0.172294372294372,0.378614916286149,0.25841359160264,1.4163179916318,0.212682725962528,168.9383,5068.2719,1827.1632,50,1686,8.88178419700125e-16,43.4292036294937,0,0,0,16,TRUE
"110",922,1246,1472,2736,2449,1950,0.300380228136882,0.678985818650623,0.450516811215397,1.85869565217391,0.249171129813823,665.575,4304.4744,1649.1268,40,1695,0.0242908541113138,42.8887841701508,-0.625,0.625,2,128,TRUE
"111",904,1246,1384,2191,2426,2151,0.225734265734266,0.542922497308934,0.338554048384841,1.58309248554913,0.273490813648294,250.0804,3978.4064,1395.9445,10,1705,0.0186317432671785,42.9655561447144,0.125,0.375,2,1,TRUE
"112",1085,1494,1764,2811,3041,2487,0.228852459016393,0.497765522487401,0.343241175827778,1.59353741496599,0.26576482830385,407.4803,4953.8639,1881.7774,30,1517,0.0235658623278141,41.0730092525482,0.25,0.5,2,4,TRUE
"113",1085,1494,1764,2811,3041,2487,0.228852459016393,0.497765522487401,0.343241175827778,1.59353741496599,0.26576482830385,407.4803,4953.8639,1881.7774,0,1517,0.0235658623278141,41.0730092525482,0.25,0.5,2,4,TRUE
"114",1076,1533,1764,2774,2875,2485,0.222565006610842,0.477405936850066,0.333810730417539,1.57256235827664,0.239491269670188,368.8069,4894.6807,1771.7202,0,1687,1.77635683940025e-15,40.2876110076904,0,0,0,16,TRUE
"115",707,956,1122,1893,2559,2131,0.255721393034826,0.579960884609598,0.383518487812966,1.68716577540107,0.39038304808476,258.9879,3538.7099,1305.0942,0,1656,0.0372505597770214,39.1804623603821,0.375,0.875,3,32,TRUE
"116",1216,1499,1769,2372,2976,2627,0.145617000724463,0.389837083010085,0.218399130749728,1.34087054833239,0.254373024236038,13.7815,4745.3743,1688.7238,40,1692,0.00589248817414045,41.0730092525482,-0.125,0.125,1,64,TRUE
