"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"49",831,1064,1333,1850,2539,2200,0.162425384857053,0.35738974146274,0.243599811528192,1.38784696174044,0.31146694214876,-613.6166,3459.1885,-2431.5443,64.67,1659,144.462326049805,2.05277514457703,-1.75,1.75,3,8,0.467140090380891,58.1212692428527,0.130991963024806
"50",1774,2300,2769,3222,3768,3389,0.0756134201301953,0.173377219840784,0.113410665108904,1.16359696641387,0.152822395594309,-1407.9494,6272.9934,-3274.5454,50,1684,90,5.08888754974322e-14,0,0,0,128,0.229216061185468,53.7806710065098,0.196649336089125
"51",886,1147,1445,1855,2519,2157,0.124242424242424,0.264107188868848,0.186335403726708,1.28373702422145,0.270938446014127,-697.175,3547.5146,-2350.2054,0.67,1629,123.690063476562,6.8532247543335,0,2.75,10,8,0.406356413166856,56.2121212121212,0.120359641906055
"52",590,806,1181,1959,2456,1896,0.247770700636943,0.420904566111231,0.37159687947779,1.65876375952583,0.350563651361012,-214.4498,3219.9872,-2329.8776,4,1874,19.9830932617188,5.57096004486084,-1.625,2.625,8,64,0.525773195876289,62.3885350318471,0.123169846204371
"53",853,1089,1418,1853,2603,2133,0.132986854173036,0.274309496783958,0.199449793672627,1.30677009873061,0.294702810246207,-650.3974,3516.1637,-2425.0728,39.33,1460,37.8749847412109,2.71992325782776,-0.125,1.125,4,128,0.441999254009698,56.6493427086518,0.0399029572305487
"54",843,1083,1440,1853,2796,2265,0.125417552383845,0.247512885053338,0.188097768331562,1.28680555555556,0.320113314447592,-694.3368,3583.9953,-2645.3075,0,1379,174.17366027832,11.5975980758667,2.5,5.25,16,4,0.480113301074,56.2708776191922,0.0572735381708888
"55",993,1326,1780,2264,2775,2352,0.119683481701286,0.220100045475216,0.179503028804549,1.27191011235955,0.218441273326015,-721.5902,4162.0531,-2526.3003,1.34,1396,90,0,0,0,0,128,0.327625946657886,55.9841740850643,0.0277816682784667
"56",724,963,1156,1755,2117,1833,0.205771212641704,0.45907418761496,0.3086038124678,1.5181660899654,0.293614421020471,-420.8438,3090.6484,-1984.2054,34,1659,45,4.04469108581543,0.25,1.5,6,1,0.440354360775928,60.2885606320852,0.156629013995015
"57",770,933,1250,1681,2132,1783,0.14704878880928,0.316260639859114,0.220535561998977,1.3448,0.260792430514488,-507.182,3075.7112,-1959.2023,18.67,1714,111.801406860352,2.56950283050537,1.625,1.625,4,8,0.391130820399113,57.352439440464,0.092755412419101
"58",903,1249,1637,1992,2349,2049,0.0978230917608156,0.176003966286564,0.146714423474308,1.21686010995724,0.178625188158555,-698.5316,3708.3749,-2109.2532,12,1562,167.275650024414,7.54314994812012,0.875,3.125,9,4,0.267904176596012,54.8911545880408,0.12682415701681
"59",751,937,1253,1959,2991,2463,0.219800747198007,0.458978026264465,0.329649805447471,1.5634477254589,0.40951932139491,-509.5858,3570.2555,-2966.5358,10.66,1719,153.434951782227,1.06752026081085,-0.5,0.5,1,4,0.614206620332195,60.9900373599004,0.127405828126023
"60",1187,1595,1927,2267,2735,2551,0.0810681926561755,0.172501268391679,0.121587793539158,1.17644006227296,0.173316173316173,-998.0498,4420.0783,-2480.6592,29.34,1445,26.5650520324707,1.06752026081085,0.5,0.5,1,64,0.259946380697051,54.0534096328088,0.148575242964647
"61",852,1150,1426,1863,2638,2300,0.132867132867133,0.271091811414392,0.199270405836753,1.30645161290323,0.298228346456693,-713.1282,3584.7802,-2527.5596,32.66,1480,48.366455078125,5.73025560379028,0,2.25,9,32,0.447287489236068,56.6433566433566,0.177311263001746
"62",1028,1364,1666,2041,2622,2353,0.10115996762881,0.216612754158965,0.151719487525287,1.22509003601441,0.22294776119403,-846.7252,3954.9466,-2417.9738,24.67,1459,53.9726257324219,6.46662521362305,-2.5,3.25,9,32,0.33438265127667,55.0579983814405,0.230088381029793
"63",1140,1461,1836,2296,3416,2828,0.111326234269119,0.241444467772412,0.166969147005445,1.25054466230937,0.300837776085301,-962.5136,4534.6776,-3196.9975,41.34,1829,135,0.675206005573273,0,0.25,2,2,0.45121370775821,55.566311713456,0.123641183976226
"64",1150,1619,1967,2469,3497,2914,0.113165013525699,0.222241898353108,0.169728389496225,1.25521098118963,0.280014641288433,-985.6028,4804.8926,-3245.196,24,1824,88.0250625610352,6.89389324188232,0,2.75,9,1,0.419983530057645,55.6582506762849,0.18214397341555
"65",885,1167,1639,2418,2706,2049,0.192013803302933,0.346807942302555,0.287985212569316,1.47528981086028,0.245569620253165,-376.2506,4048.5373,-2375.7607,2.67,1666,94.864501953125,21.4589233398438,-3.375,10.375,28,16,0.368312046945116,59.6006901651467,0.149306224537119
"66",721,985,1248,1991,2886,2304,0.229391787588762,0.456108041743401,0.344034573236611,1.59535256410256,0.39622641509434,-447.6378,3549.5979,-2796.7271,46,1952,125.53768157959,14.08482837677,-1.5,5.75,21,1,0.594267747006893,61.4695893794381,0.0822453087237026
"67",982,1291,1764,2448,3327,2600,0.162393162393162,0.301693719124912,0.243560830860534,1.38775510204082,0.307012374779022,-648.6262,4431.93,-3080.8368,0,1948,117.645980834961,16.5062274932861,-1.125,6.875,24,8,0.460473337916135,58.1196581196581,0.163121010780223
"68",1195,1594,1949,2393,3484,3129,0.102257024412713,0.216564237635353,0.153367875647668,1.22780913288866,0.282532670715995,-1092.762,4782.3605,-3351.3082,24.67,1352,90,0,0,0,0,64,0.423760007361737,55.1128512206356,0.263181807395298
"69",1580,2169,2732,3119,3851,3597,0.0661425397367971,0.126272513703994,0.0992053319661625,1.14165446559297,0.169983290293179,-1408.2546,6117.8528,-3539.111,22,1845,111.801406860352,2.56950283050537,0.375,1.125,4,128,0.254955570745044,53.3071269868399,0.989731599100657
"70",582,830,1155,1616,2176,1745,0.166365932876218,0.275585844093735,0.249503878766011,1.3991341991342,0.306514560192134,-400.8794,2889.4794,-2056.7776,3.33,1586,159.227752685547,7.36374044418335,0.75,3,9,4,0.459702836560108,58.3182966438109,0.105138121527412
"71",1006,1361,1818,2366,3089,2541,0.130975143403442,0.239092495636998,0.196439240052575,1.3014301430143,0.259017729773793,-741.9068,4368.4176,-2846.5668,0,1486,102.264770507812,16.3946762084961,1.25,7.25,22,16,0.388487009679063,56.5487571701721,0.0427342190776147
"72",1240,1679,2208,2681,3611,3362,0.0967478011863367,0.178355957767722,0.145106861642295,1.21422101449275,0.241106719367589,-1119.666,5200.1004,-3500.8452,0,1308,78.690071105957,3.64697051048279,-0.25,1.5,4,1,0.361629005928344,54.8373900593168,0.060494106480391
"73",1208,1539,2001,2688,3640,3014,0.146513115802943,0.304791481810115,0.219746241603582,1.34332833583208,0.290551320687821,-869.3416,5008.2492,-3392.5531,1.33,1792,168.690063476562,17.6764945983887,-1.25,8.5,34,2,0.435788354161127,57.3256557901472,0.0744566436733287
"74",1122,1625,2205,2781,3822,3379,0.115523465703971,0.189548505989206,0.173267823122431,1.26122448979592,0.268292682926829,-999.6196,5256.0684,-3707.2427,0,1418,106.699241638184,9.87092685699463,1.125,4.125,13,2,0.402405640812941,55.7761732851986,0.0632139185932147
"75",1301,1648,2036,2403,3588,3429,0.0826762784410903,0.188688946015424,0.124000450501183,1.18025540275049,0.275960170697013,-1261.434,4954.1411,-3544.1806,0,1288,135,1.01275038719177,-0.375,0.375,1,1,0.413903458085163,54.1338139220545,0.144669354509285
