"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"66",702,1005,1335,1702,1987,1608,0.120842937108989,0.206272482014388,0.181234567901235,1.2749063670412,0.19626730885009,-484.523,3066.8304,-1747.4848,0.67,1428,1.6876049041748,53.1301040649414,-0.125,0.625,2,1,"BLM"
"67",627,809,1100,1635,2852,2755,0.195612431444241,0.378519881137682,0.293365015536465,1.48636363636364,0.44331983805668,-652.1808,3204.6557,-3113.2117,1.33,1826,3.58425235748291,48.8140869140625,-0.125,1.375,4,64,"BLM"
"68",899,1254,1703,2181,2863,2328,0.123069001029866,0.211224038886434,0.184579739992277,1.28068115091016,0.254051686377573,-683.194,4028.3891,-2633.1789,10.67,1476,10.555380821228,161.565048217773,0.875,4.375,15,8,"BLM"
"69",823,1098,1416,1838,2545,2200,0.129686539643516,0.253453453453453,0.194499923183285,1.29802259887006,0.285029033072456,-669.3102,3495.2601,-2424.0445,26,1460,2.71992325782776,7.12501525878906,-0.125,1.125,4,128,"BLM"
"70",798,1011,1353,1734,2306,2023,0.123420796890185,0.246251292657704,0.185101214574899,1.28159645232816,0.260453675867723,-621.5262,3271.875,-2184.1917,0,1518,1.39176344871521,104.036239624023,0.625,1.125,5,2,"BLM"
"71",1118,1482,1927,2524,3465,3029,0.134127162435408,0.261750263065591,0.201168145568909,1.30980799169694,0.285237388724036,-899.2828,4772.8168,-3320.5761,14,1543,6.69634675979614,17.5255680084229,1.5,2.75,10,128,"BLM"
"72",535,712,934,1526,2069,1912,0.240650406504065,0.474587141253808,0.360902255639098,1.6338329764454,0.377955377955378,-346.6814,2679.0937,-2129.1015,0.67,1797,9.10674953460693,17.1027297973633,1.25,3.75,14,64,"BLM"
"73",766,1030,1369,1943,2481,2047,0.173309178743961,0.325175617493768,0.259924528301887,1.41928414901388,0.288831168831169,-489.8062,3463.6978,-2319.7737,14.66,1577,8.30048370361328,46.6365737915039,-1,3.5,11,1,"BLM"
"74",863,1182,1543,1837,2220,2044,0.0869822485207101,0.158970476911431,0.130454074841,1.19053791315619,0.179909646558597,-722.1206,3492.5605,-2051.8662,14.67,1372,11.3194923400879,132.614059448242,1.375,5.125,16,2,"BLM"
"75",560,774,1069,1541,2089,1998,0.180842911877395,0.314164004259851,0.271212411415438,1.44153414405987,0.32298923369221,-451.1732,2794.0732,-2157.3721,0,1694,3.10963296890259,12.52880859375,-0.25,1.25,4,128,"BLM"
