"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"71",1280,1705,1980,2179,2358,2107,0.0478480403943256,0.111547085201794,0.0717634331049405,1.10050505050505,0.0871369294605809,-236.8301,4537.0402,1664.1176,30,1315,0.0503035522997379,40.7142386436462,0.375,1.125,4,16,FALSE
"72",1217,1674,1928,2385,2939,2602,0.105958729422676,0.236713974930074,0.158919670800974,1.23703319502075,0.207725498253544,-100.2323,4896.3222,1765.6071,25,1433,0.0558435767889023,42.9655561447144,-0.5,1.25,5,2,FALSE
"73",1380,1758,1993,2357,3174,2933,0.0836781609195402,0.229450327786183,0.125502815768302,1.18263923733066,0.22856589897426,-252.1594,5134.0248,1761.1509,15,1222,0.0186317432671785,39.1804623603821,-0.5,0.5,1,128,FALSE
"74",975,1273,1541,2290,2092,1657,0.195510310623858,0.443247721623861,0.293227195615294,1.48604802076574,0.151665290393614,303.5956,3929.5912,1542.5839,5,1448,0.0448462851345539,43.8097100257874,-1.75,1.75,6,2,FALSE
"75",859,1169,1344,2323,2092,1723,0.266975729479138,0.620326954758586,0.40040899795501,1.72842261904762,0.217694994179278,465.3662,3787.9715,1421.7429,5,1501,0.13280713558197,43.3667848110199,-8.875,8.875,24,2,FALSE
"76",1200,1588,2050,2825,2970,2477,0.158974358974359,0.316274893894874,0.238437083376064,1.3780487804878,0.183266932270916,233.9826,5157.984,1953.1325,40,1779,0.0764539241790771,42.249014377594,0.125,1.875,6,2,FALSE
"77",986,1209,1346,2526,3062,2215,0.304752066115702,0.919576059850374,0.457069076823757,1.87667161961367,0.38929219600726,522.9781,4364.5323,1826.4252,0,1756,0.0372505597770214,42.9655561447144,0.375,0.875,3,2,FALSE
"78",816,1076,1235,1991,2323,2018,0.234345939243645,0.575868372943327,0.351464435146444,1.61214574898785,0.305789769533446,246.0376,3629.8073,1291.8636,40,1836,0.0727582350373268,39.2572340965271,-0.125,1.625,6,32,FALSE
"79",851,1146,1321,1958,2415,2149,0.194266544678256,0.454675231977159,0.291355389541089,1.48221044663134,0.292826552462527,133.1355,3753.535,1311.1174,25,1851,0.13583517074585,39.6319155693054,-2,3.25,12,16,FALSE
"80",972,1313,1573,2124,2578,2379,0.149039761969164,0.322373040018722,0.223529411764706,1.3502860775588,0.24211033485907,40.9037000000002,4186.0895,1423.7412,35,1622,0.0294542610645294,44.2146018147469,-0.375,0.625,3,128,FALSE
"81",956,1245,1488,1924,2486,2280,0.12778429073857,0.295954385012218,0.191648351648352,1.29301075268817,0.251132360342224,-39.9262999999997,3941.2318,1349.1113,20,1579,0.0448462851345539,43.8097100257874,-0.375,1.125,4,64,FALSE
"82",839,1141,1234,2625,2993,2150,0.360456076703809,0.930434782608696,0.540614069179946,2.12722852512156,0.416134374260705,708.9634,4264.6678,1781.8372,0,1594,0.0898958370089531,44.4119973778725,0.5,2,7,64,FALSE
"83",839,1141,1234,2625,2993,2150,0.360456076703809,0.930434782608696,0.540614069179946,2.12722852512156,0.416134374260705,708.9634,4264.6678,1781.8372,15,1594,0.0898958370089531,44.4119973778725,0.5,2,7,64,FALSE
"84",1189,1625,1997,2661,2948,2642,0.142550450837269,0.289880380686283,0.21380272619942,1.33249874812218,0.192315470171891,97.3864000000004,5078.8184,1801.9098,0,1720,0.0841692388057709,39.9346208572388,-0.5,2,6,16,FALSE
"85",869,1210,1412,2429,2707,2249,0.264774798229628,0.579883681149504,0.397110503709489,1.72025495750708,0.314396698227725,426.8815,4218.7439,1565.5696,40,1743,0.0300372242927551,42.8412010669708,0.125,0.625,2,4,FALSE
"86",817,1138,1208,2429,2799,2182,0.33571624965631,0.859738065061259,0.503505154639175,2.01076158940397,0.397055153481408,565.8741,4078.8038,1589.6451,0,1710,0.0166651234030724,43.4292036294937,0.375,0.375,1,1,FALSE
"87",816,1137,1208,2293,2214,1783,0.309911453870323,0.792665108123904,0.46480079965729,1.89817880794702,0.293980128579778,515.9107,3725.4624,1413.3312,5,1696,0.0235658623278141,42.6438055038452,0.25,0.5,2,1,FALSE
"88",816,1137,1208,2293,2214,1783,0.309911453870323,0.792665108123904,0.46480079965729,1.89817880794702,0.293980128579778,515.9107,3725.4624,1413.3312,15,1696,0.0235658623278141,42.6438055038452,0.25,0.5,2,1,FALSE
